C1	30.98	86.19	180.00	0.1uf	CAPC2012X110
D1	36.00	19.00	180.00	LED_GREEN	LEDC2012X110N_FLAT-G
D2	36.00	15.00	180.00	LED_YELLOW	LEDC2012X110N_FLAT-Y
D3	36.00	11.00	180.00	LED_YELLOW	LEDC2012X110N_FLAT-Y
D4	36.00	7.00	180.00	LED_RED	LEDC2012X110N_FLAT-R
R1	28.00	19.00	180.00	110Ω	RESC2012X65
R10	19.00	11.00	180.00	0Ω	RESC2012X65
R11	19.00	7.00	180.00	0Ω	RESC2012X65
R2	28.00	15.00	180.00	110Ω	RESC2012X65
R3	28.00	11.00	180.00	110Ω	RESC2012X65
R4	28.00	7.00	180.00	110Ω	RESC2012X65
R6	21.82	64.16	0.00	470Ω	RESC2012X65
R7	22.50	50.75	0.00	470Ω	RESC2012X65
R8	19.00	19.00	180.00	0Ω	RESC2012X65
R9	19.00	15.00	180.00	0Ω	RESC2012X65
TS3USB221DRCR	30.48	80.34	180.00	TS3USB221DRCR	DRC10_2P4X1P65
